rowID,stamp,datetime,hum
124000,1497825325, 18/6/2017 22:33:145,62.4
124998,1497825326, 18/6/2017 22:33:146,62.6
125999,1497825327, 18/6/2017 22:33:147,62.6
126999,1497825328, 18/6/2017 22:33:148,62.6
127998,1497825329, 18/6/2017 22:33:149,62.6
129000,1497825330, 18/6/2017 22:33:150,62.7
129999,1497825331, 18/6/2017 22:33:151,62.7
131000,1497825332, 18/6/2017 22:33:152,62.6
132000,1497825333, 18/6/2017 22:33:153,62.6
132999,1497825334, 18/6/2017 22:33:154,62.6
133999,1497825335, 18/6/2017 22:33:155,62.7
134999,1497825336, 18/6/2017 22:33:156,62.7
135999,1497825337, 18/6/2017 22:33:157,62.8
136998,1497825338, 18/6/2017 22:33:158,62.8
138000,1497825339, 18/6/2017 22:33:159,62.8
138999,1497825340, 18/6/2017 22:33:160,62.8
139999,1497825341, 18/6/2017 22:33:161,62.8
140999,1497825342, 18/6/2017 22:33:162,62.8
142000,1497825343, 18/6/2017 22:33:163,62.8
142999,1497825344, 18/6/2017 22:33:164,62.8
143998,1497825345, 18/6/2017 22:33:165,62.8
144999,1497825346, 18/6/2017 22:33:166,62.8
145999,1497825347, 18/6/2017 22:33:167,62.8
147000,1497825348, 18/6/2017 22:33:168,62.9
148000,1497825349, 18/6/2017 22:33:169,62.9
148999,1497825350, 18/6/2017 22:33:170,62.9
149999,1497825351, 18/6/2017 22:33:171,62.9
150999,1497825352, 18/6/2017 22:33:172,62.9
152000,1497825353, 18/6/2017 22:33:173,62.9
152998,1497825354, 18/6/2017 22:33:174,62.9
153999,1497825355, 18/6/2017 22:33:175,62.9
154999,1497825356, 18/6/2017 22:33:176,62.9
156000,1497825357, 18/6/2017 22:33:177,62.9
156998,1497825358, 18/6/2017 22:33:178,62.9
158000,1497825359, 18/6/2017 22:33:179,63
158999,1497825360, 18/6/2017 22:33:180,63
159998,1497825361, 18/6/2017 22:33:181,63.1
160999,1497825362, 18/6/2017 22:33:182,63.1
161999,1497825363, 18/6/2017 22:33:183,63.1
162999,1497825364, 18/6/2017 22:33:184,63.1
163998,1497825365, 18/6/2017 22:33:185,63.1
165000,1497825366, 18/6/2017 22:33:186,63.2
165999,1497825367, 18/6/2017 22:33:187,63.2
166999,1497825368, 18/6/2017 22:33:188,63.2
167999,1497825369, 18/6/2017 22:33:189,63.2
168999,1497825370, 18/6/2017 22:33:190,63.2
169999,1497825371, 18/6/2017 22:33:191,63.2
170999,1497825372, 18/6/2017 22:33:192,63.2
171999,1497825373, 18/6/2017 22:33:193,63.2
172998,1497825374, 18/6/2017 22:33:194,63.2
174000,1497825375, 18/6/2017 22:33:195,63.2
174999,1497825376, 18/6/2017 22:33:196,63.2
175998,1497825377, 18/6/2017 22:33:197,63.2
176999,1497825378, 18/6/2017 22:33:198,63.2
177999,1497825379, 18/6/2017 22:33:199,63.2
179000,1497825380, 18/6/2017 22:33:200,63.2
179998,1497825381, 18/6/2017 22:33:201,63.2
181000,1497825382, 18/6/2017 22:33:202,63.2
181999,1497825383, 18/6/2017 22:33:203,63.2
183000,1497825384, 18/6/2017 22:33:204,63.2
183999,1497825385, 18/6/2017 22:33:205,63.2
184999,1497825386, 18/6/2017 22:33:206,63.2
185999,1497825387, 18/6/2017 22:33:207,63.2
186998,1497825388, 18/6/2017 22:33:208,63.2
188000,1497825389, 18/6/2017 22:33:209,63.3
188999,1497825390, 18/6/2017 22:33:210,63.3
190000,1497825391, 18/6/2017 22:33:211,63.3
190998,1497825392, 18/6/2017 22:33:212,63.3
192001,1497825393, 18/6/2017 22:33:213,63.3
192999,1497825394, 18/6/2017 22:33:214,63.4
193999,1497825395, 18/6/2017 22:33:215,63.4
194999,1497825396, 18/6/2017 22:33:216,63.4
195999,1497825397, 18/6/2017 22:33:217,63.4
196999,1497825398, 18/6/2017 22:33:218,63.4
197999,1497825399, 18/6/2017 22:33:219,63.3
198999,1497825400, 18/6/2017 22:33:220,63.3
199998,1497825401, 18/6/2017 22:33:221,63.3
200999,1497825402, 18/6/2017 22:33:222,63.4
202000,1497825403, 18/6/2017 22:33:223,63.4
202999,1497825404, 18/6/2017 22:33:224,63.4
203999,1497825405, 18/6/2017 22:33:225,63.5
205000,1497825406, 18/6/2017 22:33:226,63.5
